num,author,title,format,year,venue
1,"Aanrooy, Jacques",OFF THE TRACK,novel,1895,
2,"Abbot, Anthony",ABOUT THE MURDER OF THE CIRCUS QUEEN,novel,1932,
3,"Abbot, Anthony",ABOUT THE MURDER OF THE NIGHT CLUB LADY,novel,1931,
4,"Abbot, Anthony",ABOUT THE MURDER OF A STARTLED LADY,novel,1935,
5,"Abbot, Anthony",THE SHUDDERS,novel,1943,
6,"Abbot, Anthony",About the Disappearance of Agatha King,short story,1939,The Mystery Book
7,"Abshire, Richard K., and William R. Clair",GANTS,novel,1987,
8,"Adair, Gilbert",The Giant Rat of Sumatra,short story,1988,The Independent
9,"Adams, Harold",THE MAN WHO MISSED THE PARTY,novel,1989,
10,"Adams, Herbert",BLACK DEATH,novel,1939,
11,"Adams, Herbert",Death OFF the Fairway,novel,1936,
12,"Adams, Herbert",FOUR WINDS,novel,1944,
13,"Adams, Herbert",THE JUDAS KISS,novel,1955,
14,"Adams, Herbert",THE QUEEN'S GATE MYSTERY,novel,1927,
15,"Adams, Herbert",ROGUES FALL OUT,novel,1928,
16,"Adams, Herbert",THE SPECTRE IN BROWN,novel,1953,
17,"Adams, Samuel Hopkins",THE FLYING DEATH,novel,1908,
18,"Adams, Samuel Hopkins",Aunt Minnie and the Accessory After the Fact,short story,1945,Murder for the Millions; Liberty Magazine; Stories of Crime and Detection; EQMM
19,"Adams, Samuel Hopkins",The Flying Death,short story,1903,"The Strand Magazine; McClure's Magazine; EQMM; Ellery Queen's Anthology, 1964 Mid-Year Edition"
20,"Adrian, Jack",The Absolute and Utter Impossibility of the Facts in the Case of the Vanishing of Henning Vok (a.k.a. The Amazing Blitzen) (r.n. Jack Ralph Cole),short story,1991,New Crimes 3
21,"Adrian, Jack",The Phantom Pistol,short story,1989,Felonious Assaults; The Year's Best Mystery & Suspense Stories
22,"Afford, Max",BLOOD ON HIS HANDS!,novel,1936,
23,"Afford, Max",THE DEAD ARE BLIND,novel,1937,
24,"Afford, Max",DEATH'S MANNIKINS,novel,1937,
25,"Afford, Max",FLY BY NIGHT,novel,1942,
26,"Aird, Catherine (Kinn Hamilton McIntosh)",HIS BURIAL TOO,novel,1973,
27,"Aird, Catherine (Kinn Hamilton McIntosh)",Cause and Effect,short story,1990,A Classic English Crime
28,"Aldous, Allan",IT'S MURDER IF YOU SAY SO!,novel,1952,
29,"Aldrich, Thomas Bailey",OUT OF HIS HEAD,novel,1862,
30,"Alexander, David",THE DEATH OF HUMPTY-DUMPTY,novel,1957,
31,"Alexander, Ruth, and Arnold Ridley",THE GHOST TRAIN,novel,1926,
32,"Allan, Luke",BEYOND THE LOCKED DOOR,novel,1938,
33,"Allan, Luke",THE FOURTH DAGGER,novel,1932,
34,"Allen, Clifford",A Lecture on Detection,short story,1973,London Mystery Magazine No. 98
35,"Allen, Clifford",Everybody Hates David Starbuck,short story,1958,Playboy; Ellery Queen's Minimysteries
36,"Allen, Warner",THE DEVIL THAT SLUMBERS,novel,1925,
37,"Allen, Warner",THE UNCOUNTED HOUR,novel,1936,
